# k_data chi_data_k2 k_model chi_model_k2
0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00
5.000000e-02 -8.203422e-05 5.000000e-02 -7.202535e-05
1.000000e-01 -4.651036e-04 1.000000e-01 -2.834340e-04
1.500000e-01 -1.345261e-03 1.500000e-01 -6.200958e-04
2.000000e-01 -2.899098e-03 2.000000e-01 -1.058064e-03
2.500000e-01 -5.275077e-03 2.500000e-01 -1.563090e-03
3.000000e-01 -8.584871e-03 3.000000e-01 -2.090153e-03
3.500000e-01 -1.289469e-02 3.500000e-01 -2.583209e-03
4.000000e-01 -1.821663e-02 4.000000e-01 -2.975387e-03
4.500000e-01 -2.449998e-02 4.500000e-01 -3.189876e-03
5.000000e-01 -3.162259e-02 5.000000e-01 -3.141739e-03
5.500000e-01 -3.938218e-02 5.500000e-01 -2.740790e-03
6.000000e-01 -4.748770e-02 6.000000e-01 -1.895622e-03
6.500000e-01 -5.555063e-02 6.500000e-01 -5.186787e-04
7.000000e-01 -6.307633e-02 7.000000e-01 1.467852e-03
7.500000e-01 -6.949804e-02 7.500000e-01 4.125704e-03
8.000000e-01 -7.448060e-02 8.000000e-01 7.494243e-03
8.500000e-01 -7.791163e-02 8.500000e-01 1.158470e-02
9.000000e-01 -7.984239e-02 9.000000e-01 1.637534e-02
9.500000e-01 -8.051929e-02 9.500000e-01 2.180775e-02
1.000000e+00 -8.041587e-02 1.000000e+00 2.778441e-02
1.050000e+00 -7.990426e-02 1.050000e+00 3.416725e-02
1.100000e+00 -7.762538e-02 1.100000e+00 4.077715e-02
1.150000e+00 -7.118458e-02 1.150000e+00 4.739424e-02
1.200000e+00 -5.932738e-02 1.200000e+00 5.375877e-02
1.250000e+00 -4.227877e-02 1.250000e+00 5.957209e-02
1.300000e+00 -2.084632e-02 1.300000e+00 6.449611e-02
1.350000e+00 3.463195e-03 1.350000e+00 6.814753e-02
1.400000e+00 2.855683e-02 1.400000e+00 7.007950e-02
1.450000e+00 5.198435e-02 1.450000e+00 6.973757e-02
1.500000e+00 7.444939e-02 1.500000e+00 6.635989e-02
1.550000e+00 9.880040e-02 1.550000e+00 6.505025e-02
1.600000e+00 1.232837e-01 1.600000e+00 8.640583e-02
1.650000e+00 1.448285e-01 1.650000e+00 1.052701e-01
1.700000e+00 1.616460e-01 1.700000e+00 1.214145e-01
1.750000e+00 1.729287e-01 1.750000e+00 1.346003e-01
1.800000e+00 1.784626e-01 1.800000e+00 1.449343e-01
1.850000e+00 1.784529e-01 1.850000e+00 1.524118e-01
1.900000e+00 1.750132e-01 1.900000e+00 1.570235e-01
1.950000e+00 1.675661e-01 1.950000e+00 1.577676e-01
2.000000e+00 1.540592e-01 2.000000e+00 1.541089e-01
2.050000e+00 1.399886e-01 2.050000e+00 1.455417e-01
2.100000e+00 1.319974e-01 2.100000e+00 1.312635e-01
2.150000e+00 1.209681e-01 2.150000e+00 1.135261e-01
2.200000e+00 1.047145e-01 2.200000e+00 9.458942e-02
2.250000e+00 9.358083e-02 2.250000e+00 7.919601e-02
2.300000e+00 7.877263e-02 2.300000e+00 7.447312e-02
2.350000e+00 5.559740e-02 2.350000e+00 8.446640e-02
2.400000e+00 3.917544e-02 2.400000e+00 1.116085e-01
2.450000e+00 1.546767e-02 2.450000e+00 1.527908e-01
2.500000e+00 -1.084809e-02 2.500000e+00 1.988784e-01
2.550000e+00 -2.762783e-02 2.550000e+00 2.360428e-01
2.600000e+00 -5.127064e-02 2.600000e+00 2.470598e-01
2.650000e+00 -8.275451e-02 2.650000e+00 2.205086e-01
2.700000e+00 -1.122119e-01 2.700000e+00 1.587016e-01
2.750000e+00 -1.419438e-01 2.750000e+00 7.302088e-02
2.800000e+00 -1.741743e-01 2.800000e+00 -2.175107e-02
2.850000e+00 -2.073220e-01 2.850000e+00 -1.130737e-01
2.900000e+00 -2.507217e-01 2.900000e+00 -1.996803e-01
2.950000e+00 -2.809512e-01 2.950000e+00 -2.835882e-01
3.000000e+00 -3.133088e-01 3.000000e+00 -3.621099e-01
3.050000e+00 -3.482159e-01 3.050000e+00 -4.284387e-01
3.100000e+00 -3.723370e-01 3.100000e+00 -4.781386e-01
3.150000e+00 -3.883979e-01 3.150000e+00 -5.109676e-01
3.200000e+00 -3.984334e-01 3.200000e+00 -5.270920e-01
3.250000e+00 -3.902564e-01 3.250000e+00 -5.256302e-01
3.300000e+00 -3.702595e-01 3.300000e+00 -5.034216e-01
3.350000e+00 -3.354971e-01 3.350000e+00 -4.573716e-01
3.400000e+00 -2.757181e-01 3.400000e+00 -3.860960e-01
3.450000e+00 -1.998126e-01 3.450000e+00 -2.912671e-01
3.500000e+00 -1.189389e-01 3.500000e+00 -1.774068e-01
3.550000e+00 -1.922363e-02 3.550000e+00 -5.103940e-02
3.600000e+00 7.616642e-02 3.600000e+00 8.007945e-02
3.650000e+00 1.740134e-01 3.650000e+00 2.076791e-01
