# Epoch	Train_Loss	Val_Loss	Train_Phys	Val_Phys
1.000000e+00	2.156853e-01	1.958645e-01	8.199503e-03	1.748133e-02
2.000000e+00	1.371083e-01	1.252026e-01	1.496321e-02	1.360848e-02
3.000000e+00	1.031093e-01	1.146958e-01	1.220439e-02	1.680925e-02
4.000000e+00	8.645222e-02	1.034423e-01	1.720295e-02	2.256717e-02
5.000000e+00	8.016783e-02	9.932368e-02	1.980927e-02	2.354421e-02
6.000000e+00	7.604954e-02	9.255989e-02	2.230837e-02	2.842367e-02
7.000000e+00	7.181553e-02	8.891301e-02	2.525760e-02	3.034222e-02
8.000000e+00	6.873787e-02	8.605462e-02	2.750907e-02	3.356106e-02
9.000000e+00	6.616315e-02	8.199218e-02	3.018686e-02	3.693756e-02
1.000000e+01	6.354755e-02	7.940494e-02	3.280041e-02	3.943776e-02
1.100000e+01	6.145936e-02	7.697444e-02	3.538888e-02	4.247531e-02
1.200000e+01	6.001389e-02	7.531323e-02	3.615387e-02	4.611238e-02
1.300000e+01	5.831785e-02	7.605305e-02	3.880284e-02	4.240678e-02
1.400000e+01	5.789317e-02	7.161403e-02	3.890951e-02	4.461303e-02
1.500000e+01	5.517950e-02	7.315871e-02	3.871401e-02	5.033267e-02
1.600000e+01	5.537573e-02	6.677798e-02	3.966569e-02	4.682633e-02
1.700000e+01	5.270074e-02	6.627844e-02	3.994219e-02	4.476140e-02
1.800000e+01	5.118737e-02	6.405458e-02	3.863626e-02	4.549251e-02
1.900000e+01	5.111459e-02	6.508669e-02	3.708111e-02	4.606050e-02
2.000000e+01	5.090906e-02	6.383625e-02	3.629537e-02	4.395730e-02
2.100000e+01	5.141695e-02	6.725475e-02	3.638121e-02	4.280848e-02
2.200000e+01	4.951936e-02	6.090280e-02	3.418499e-02	3.887971e-02
2.300000e+01	4.886614e-02	6.092396e-02	3.255778e-02	3.698522e-02
2.400000e+01	4.906768e-02	6.191834e-02	3.093442e-02	3.664165e-02
2.500000e+01	4.874553e-02	6.130454e-02	2.997564e-02	3.633548e-02
2.600000e+01	4.716253e-02	6.043199e-02	2.867024e-02	3.413334e-02
2.700000e+01	4.741749e-02	5.935220e-02	2.806292e-02	3.112084e-02
2.800000e+01	4.838801e-02	6.122342e-02	2.694474e-02	2.881052e-02
2.900000e+01	4.827141e-02	6.586406e-02	2.639702e-02	2.699151e-02
