# r_data chir_mag_data chir_real_data r_model chir_mag_model chir_real_model
1.963495e+00 1.112313e+00 -1.090009e+00 1.963495e+00 1.145281e+00 -1.124382e+00
1.994175e+00 1.156067e+00 -1.129791e+00 1.994175e+00 1.193839e+00 -1.165482e+00
2.024855e+00 1.182778e+00 -9.511746e-01 2.024855e+00 1.222493e+00 -9.834361e-01
2.055534e+00 1.190825e+00 -5.751498e-01 2.055534e+00 1.229140e+00 -6.004356e-01
2.086214e+00 1.179441e+00 -7.968596e-02 2.086214e+00 1.212795e+00 -9.722748e-02
2.116893e+00 1.148726e+00 4.196439e-01 2.116893e+00 1.173654e+00 4.077164e-01
2.147573e+00 1.099625e+00 8.037743e-01 2.147573e+00 1.113069e+00 7.938864e-01
2.178253e+00 1.033852e+00 9.870445e-01 2.178253e+00 1.033462e+00 9.765021e-01
2.208932e+00 9.537803e-01 9.431577e-01 2.208932e+00 9.381570e-01 9.321647e-01
2.239612e+00 8.623142e-01 7.104995e-01 2.239612e+00 8.311675e-01 7.028177e-01
2.270292e+00 7.627293e-01 3.752891e-01 2.270292e+00 7.169367e-01 3.771486e-01
2.300971e+00 6.585062e-01 3.979510e-02 2.300971e+00 6.000664e-01 5.750158e-02
2.331651e+00 5.531580e-01 -2.116732e-01 2.331651e+00 4.850476e-01 -1.743794e-01
2.362330e+00 4.500596e-01 -3.363416e-01 2.362330e+00 3.760203e-01 -2.800327e-01
2.393010e+00 3.522895e-01 -3.387181e-01 2.393010e+00 2.765914e-01 -2.684337e-01
2.423690e+00 2.624910e-01 -2.589307e-01 2.423690e+00 1.897677e-01 -1.827633e-01
2.454369e+00 1.827640e-01 -1.508436e-01 2.454369e+00 1.181769e-01 -7.761907e-02
2.485049e+00 1.145984e-01 -6.006339e-02 2.485049e+00 6.538616e-02 2.938233e-03
2.515728e+00 5.888963e-02 -1.025416e-02 2.515728e+00 4.059718e-02 3.824522e-02
2.546408e+00 1.665730e-02 -1.248482e-03 2.546408e+00 4.612063e-02 3.176907e-02
2.577088e+00 1.804968e-02 -1.691886e-02 2.577088e+00 5.683932e-02 2.241039e-03
2.607767e+00 3.772938e-02 -3.716621e-02 2.607767e+00 6.145623e-02 -2.885803e-02
2.638447e+00 4.860131e-02 -4.792823e-02 2.638447e+00 5.932957e-02 -4.732318e-02
2.669127e+00 5.199315e-02 -4.540949e-02 2.669127e+00 5.229893e-02 -5.012450e-02
2.699806e+00 5.004742e-02 -3.421369e-02 2.699806e+00 4.309425e-02 -4.307846e-02
2.730486e+00 4.533113e-02 -2.191065e-02 2.730486e+00 3.516012e-02 -3.497841e-02
2.761165e+00 4.083569e-02 -1.363387e-02 2.761165e+00 3.205186e-02 -3.183856e-02
2.791845e+00 3.947251e-02 -9.463562e-03 2.791845e+00 3.448670e-02 -3.401875e-02
2.822525e+00 4.241427e-02 -5.380796e-03 2.822525e+00 3.942909e-02 -3.704831e-02
2.853204e+00 4.831981e-02 3.387533e-03 2.853204e+00 4.384221e-02 -3.503880e-02
2.883884e+00 5.504980e-02 1.886120e-02 2.883884e+00 4.622427e-02 -2.451080e-02
2.914563e+00 6.105733e-02 3.865122e-02 2.914563e+00 4.618548e-02 -6.571913e-03
2.945243e+00 6.553102e-02 5.696881e-02 2.945243e+00 4.402908e-02 1.355421e-02
2.975923e+00 6.820559e-02 6.759823e-02 2.975923e+00 4.052092e-02 2.921427e-02
3.006602e+00 6.922860e-02 6.706733e-02 3.006602e+00 3.671429e-02 3.566156e-02
3.037282e+00 6.912192e-02 5.615472e-02 3.037282e+00 3.372603e-02 3.216583e-02
3.067962e+00 6.881520e-02 3.881477e-02 3.067962e+00 3.245056e-02 2.170135e-02
3.098641e+00 6.967774e-02 1.914048e-02 3.098641e+00 3.345645e-02 8.405428e-03
3.129321e+00 7.336821e-02 -1.683635e-03 3.129321e+00 3.734574e-02 -5.585093e-03
3.160000e+00 8.133993e-02 -2.617391e-02 3.160000e+00 4.512758e-02 -2.168708e-02
3.190680e+00 9.426559e-02 -5.791179e-02 3.190680e+00 5.789152e-02 -4.327921e-02
