# r_data chir_mag_data chir_real_data r_model chir_mag_model chir_real_model
8.651652e+00 2.127150e-02 3.314041e-03 8.651652e+00 1.245247e-03 9.044680e-04
8.682331e+00 2.189416e-02 -1.131410e-02 8.682331e+00 1.067222e-03 6.109758e-04
8.713011e+00 2.276741e-02 -2.144713e-02 8.713011e+00 9.001176e-04 4.158278e-04
8.743690e+00 2.378153e-02 -2.251517e-02 8.743690e+00 7.975455e-04 3.344893e-04
8.774370e+00 2.482293e-02 -1.375783e-02 8.774370e+00 7.878618e-04 3.077445e-04
8.805050e+00 2.579148e-02 1.445317e-03 8.805050e+00 8.412315e-04 2.459910e-04
8.835729e+00 2.661035e-02 1.695221e-02 8.835729e+00 9.006190e-04 9.185151e-05
8.866409e+00 2.723026e-02 2.637523e-02 8.866409e+00 9.247081e-04 -1.409963e-04
8.897089e+00 2.763001e-02 2.571181e-02 8.897089e+00 8.960195e-04 -3.779731e-04
8.927768e+00 2.781466e-02 1.501383e-02 8.927768e+00 8.160500e-04 -5.345283e-04
8.958448e+00 2.781181e-02 -1.594431e-03 8.958448e+00 7.016304e-04 -5.725336e-04
8.989127e+00 2.766626e-02 -1.756800e-02 8.989127e+00 5.845657e-04 -5.240804e-04
9.019807e+00 2.743308e-02 -2.659109e-02 9.019807e+00 5.104137e-04 -4.675030e-04
9.050487e+00 2.716961e-02 -2.513389e-02 9.050487e+00 5.148866e-04 -4.729520e-04
9.081166e+00 2.692682e-02 -1.386014e-02 9.081166e+00 5.825044e-04 -5.548761e-04
9.111846e+00 2.674162e-02 2.687466e-03 9.111846e+00 6.663541e-04 -6.631724e-04
9.142525e+00 2.663137e-02 1.796987e-02 9.142525e+00 7.305882e-04 -7.179639e-04
9.173205e+00 2.659189e-02 2.609345e-02 9.173205e+00 7.572368e-04 -6.635402e-04
9.203885e+00 2.659947e-02 2.410637e-02 9.203885e+00 7.414825e-04 -5.048321e-04
9.234564e+00 2.661583e-02 1.303015e-02 9.234564e+00 6.890824e-04 -3.026034e-04
9.265244e+00 2.659492e-02 -2.724667e-03 9.265244e+00 6.164357e-04 -1.320090e-04
9.295924e+00 2.648961e-02 -1.722459e-02 9.295924e+00 5.515411e-04 -3.365357e-05
9.326603e+00 2.625744e-02 -2.533141e-02 9.326603e+00 5.283247e-04 9.634782e-06
9.357283e+00 2.586476e-02 -2.453438e-02 9.357283e+00 5.629181e-04 5.560077e-05
9.387962e+00 2.528921e-02 -1.564547e-02 9.387962e+00 6.360951e-04 1.581349e-04
9.418642e+00 2.452086e-02 -2.221132e-03 9.418642e+00 7.133440e-04 3.269722e-04
9.449322e+00 2.356214e-02 1.092879e-02 9.449322e+00 7.671512e-04 5.191669e-04
9.480001e+00 2.242722e-02 1.950326e-02 9.480001e+00 7.824162e-04 6.675278e-04
9.510681e+00 2.114110e-02 2.110578e-02 9.510681e+00 7.565968e-04 7.257367e-04
9.541361e+00 1.973897e-02 1.586187e-02 9.541361e+00 7.005599e-04 6.988370e-04
9.572040e+00 1.826622e-02 6.160162e-03 9.572040e+00 6.400467e-04 6.383841e-04
9.602720e+00 1.677905e-02 -4.306147e-03 9.602720e+00 6.118737e-04 6.060965e-04
9.633399e+00 1.534506e-02 -1.184821e-02 9.633399e+00 6.422130e-04 6.313086e-04
9.664079e+00 1.404238e-02 -1.402966e-02 9.664079e+00 7.208540e-04 6.913255e-04
9.694759e+00 1.295384e-02 -1.047312e-02 9.694759e+00 8.126618e-04 7.276633e-04
9.725438e+00 1.215292e-02 -2.958989e-03 9.725438e+00 8.848906e-04 6.865009e-04
9.756118e+00 1.168141e-02 5.251444e-03 9.756118e+00 9.182445e-04 5.554067e-04
9.786797e+00 1.152923e-02 1.067700e-02 9.786797e+00 9.084787e-04 3.714669e-04
9.817477e+00 1.163251e-02 1.102210e-02 9.817477e+00 8.667506e-04 1.958616e-04
9.848157e+00 1.189415e-02 6.164344e-03 9.848157e+00 8.190495e-04 7.284705e-05
9.878836e+00 1.221246e-02 -1.736718e-03 9.878836e+00 7.994481e-04 1.364406e-06
9.909516e+00 1.250177e-02 -9.133414e-03 9.909516e+00 8.305957e-04 -6.163147e-05
9.940196e+00 1.270042e-02 -1.265684e-02 9.940196e+00 9.048363e-04 -1.689594e-04
9.970875e+00 1.276986e-02 -1.067001e-02 9.970875e+00 9.918670e-04 -3.445437e-04
