# k_data chi_data_k2 k_model chi_model_k2
4.800000e+00 -8.694420e-01 4.800000e+00 -8.519032e-01
4.850000e+00 -8.981239e-01 4.850000e+00 -8.741476e-01
4.900000e+00 -8.694546e-01 4.900000e+00 -8.539815e-01
4.950000e+00 -8.087406e-01 4.950000e+00 -7.906371e-01
5.000000e+00 -7.076489e-01 5.000000e+00 -6.866274e-01
5.050000e+00 -5.895182e-01 5.050000e+00 -5.478641e-01
5.100000e+00 -4.458087e-01 5.100000e+00 -3.832601e-01
5.150000e+00 -2.676730e-01 5.150000e+00 -2.040839e-01
5.200000e+00 -8.003369e-02 5.200000e+00 -2.266399e-02
5.250000e+00 9.384917e-02 5.250000e+00 1.491412e-01
5.300000e+00 2.484004e-01 5.300000e+00 3.014777e-01
5.350000e+00 3.691451e-01 5.350000e+00 4.275768e-01
5.400000e+00 4.898297e-01 5.400000e+00 5.242282e-01
5.450000e+00 5.546571e-01 5.450000e+00 5.916375e-01
5.500000e+00 6.108664e-01 5.500000e+00 6.326631e-01
5.550000e+00 6.422725e-01 5.550000e+00 6.516250e-01
5.600000e+00 6.584334e-01 5.600000e+00 6.529339e-01
5.650000e+00 6.597963e-01 5.650000e+00 6.399432e-01
5.700000e+00 6.230000e-01 5.700000e+00 6.143909e-01
5.750000e+00 5.720156e-01 5.750000e+00 5.763994e-01
5.800000e+00 5.244726e-01 5.800000e+00 5.249115e-01
5.850000e+00 4.651320e-01 5.850000e+00 4.584333e-01
5.900000e+00 3.739319e-01 5.900000e+00 3.757206e-01
5.950000e+00 2.667088e-01 5.950000e+00 2.766094e-01
6.000000e+00 1.518969e-01 6.000000e+00 1.624319e-01
6.050000e+00 1.038825e-02 6.050000e+00 3.584099e-02
6.100000e+00 -1.291321e-01 6.100000e+00 -9.968641e-02
6.150000e+00 -2.620532e-01 6.150000e+00 -2.402524e-01
6.200000e+00 -3.933319e-01 6.200000e+00 -3.815842e-01
6.250000e+00 -5.171703e-01 6.250000e+00 -5.186877e-01
6.300000e+00 -6.496262e-01 6.300000e+00 -6.451928e-01
6.350000e+00 -7.328415e-01 6.350000e+00 -7.527367e-01
6.400000e+00 -7.987136e-01 6.400000e+00 -8.309101e-01
6.450000e+00 -8.226571e-01 6.450000e+00 -8.681118e-01
6.500000e+00 -8.183875e-01 6.500000e+00 -8.534441e-01
6.550000e+00 -7.757356e-01 6.550000e+00 -7.794171e-01
6.600000e+00 -6.232886e-01 6.600000e+00 -6.448446e-01
6.650000e+00 -4.605977e-01 6.650000e+00 -4.570626e-01
6.700000e+00 -2.215814e-01 6.700000e+00 -2.325889e-01
6.750000e+00 4.096100e-02 6.750000e+00 4.361093e-03
6.800000e+00 2.644297e-01 6.800000e+00 2.254849e-01
6.850000e+00 4.360891e-01 6.850000e+00 4.035810e-01
6.900000e+00 5.564790e-01 6.900000e+00 5.182914e-01
6.950000e+00 5.747576e-01 6.950000e+00 5.609476e-01
7.000000e+00 5.430708e-01 7.000000e+00 5.371280e-01
7.050000e+00 4.623751e-01 7.050000e+00 4.659930e-01
7.100000e+00 3.615287e-01 7.100000e+00 3.762402e-01
7.150000e+00 3.269744e-01 7.150000e+00 2.994272e-01
7.200000e+00 3.184964e-01 7.200000e+00 2.621842e-01
7.250000e+00 3.575364e-01 7.250000e+00 2.792474e-01
7.300000e+00 4.379710e-01 7.300000e+00 3.492145e-01
7.350000e+00 5.418643e-01 7.350000e+00 4.542253e-01
7.400000e+00 6.307714e-01 7.400000e+00 5.637214e-01
7.450000e+00 6.799121e-01 7.450000e+00 6.414472e-01
7.500000e+00 6.494635e-01 7.500000e+00 6.540079e-01
7.550000e+00 5.563153e-01 7.550000e+00 5.789009e-01
7.600000e+00 3.487783e-01 7.600000e+00 4.100811e-01
7.650000e+00 1.034144e-01 7.650000e+00 1.597792e-01
7.700000e+00 -1.643788e-01 7.700000e+00 -1.437428e-01
7.750000e+00 -4.462489e-01 7.750000e+00 -4.617825e-01
7.800000e+00 -7.449937e-01 7.800000e+00 -7.527083e-01
7.850000e+00 -9.458208e-01 7.850000e+00 -9.795098e-01
7.900000e+00 -1.103343e+00 7.900000e+00 -1.115686e+00
7.950000e+00 -1.189160e+00 7.950000e+00 -1.148400e+00
8.000000e+00 -1.185933e+00 8.000000e+00 -1.078646e+00
8.050000e+00 -1.036809e+00 8.050000e+00 -9.189933e-01
8.100000e+00 -7.777857e-01 8.100000e+00 -6.899677e-01
8.150000e+00 -4.436809e-01 8.150000e+00 -4.162928e-01
8.200000e+00 -9.078800e-02 8.200000e+00 -1.239044e-01
8.250000e+00 2.514452e-01 8.250000e+00 1.618753e-01
8.300000e+00 5.396452e-01 8.300000e+00 4.171962e-01
8.350000e+00 6.923801e-01 8.350000e+00 6.202654e-01
8.400000e+00 7.459579e-01 8.400000e+00 7.524151e-01
8.450000e+00 7.101107e-01 8.450000e+00 8.001237e-01
8.500000e+00 6.399539e-01 8.500000e+00 7.578946e-01
8.550000e+00 4.911664e-01 8.550000e+00 6.312611e-01
8.600000e+00 3.143013e-01 8.600000e+00 4.387328e-01
8.650000e+00 1.770410e-01 8.650000e+00 2.114417e-01
8.700000e+00 2.650797e-02 8.700000e+00 -1.032790e-02
8.750000e+00 -1.027464e-01 8.750000e+00 -1.837098e-01
8.800000e+00 -2.141372e-01 8.800000e+00 -2.719093e-01
8.850000e+00 -2.490330e-01 8.850000e+00 -2.530659e-01
8.900000e+00 -1.898053e-01 8.900000e+00 -1.269877e-01
8.950000e+00 -5.645569e-02 8.950000e+00 8.234420e-02
9.000000e+00 1.504528e-01 9.000000e+00 3.297204e-01
9.050000e+00 4.419656e-01 9.050000e+00 5.569855e-01
9.100000e+00 6.709254e-01 9.100000e+00 7.051174e-01
9.150000e+00 8.099983e-01 9.150000e+00 7.274451e-01
9.200000e+00 7.648165e-01 9.200000e+00 6.008747e-01
9.250000e+00 5.011328e-01 9.250000e+00 3.322911e-01
9.300000e+00 4.224524e-02 9.300000e+00 -4.160380e-02
9.350000e+00 -4.932710e-01 9.350000e+00 -4.611149e-01
9.400000e+00 -1.001636e+00 9.400000e+00 -8.555384e-01
9.450000e+00 -1.298829e+00 9.450000e+00 -1.157539e+00
9.500000e+00 -1.428324e+00 9.500000e+00 -1.316586e+00
9.550000e+00 -1.320520e+00 9.550000e+00 -1.308402e+00
9.600000e+00 -1.040948e+00 9.600000e+00 -1.138407e+00
9.650000e+00 -6.556229e-01 9.650000e+00 -8.387034e-01
9.700000e+00 -3.071531e-01 9.700000e+00 -4.597219e-01
9.750000e+00 6.963261e-02 9.750000e+00 -5.893108e-02
9.800000e+00 3.734289e-01 9.800000e+00 3.105056e-01
9.850000e+00 6.433854e-01 9.850000e+00 6.084920e-01
9.900000e+00 7.659491e-01 9.900000e+00 8.124380e-01
9.950000e+00 8.207305e-01 9.950000e+00 9.170008e-01
1.000000e+01 8.570509e-01 1.000000e+01 9.300944e-01
1.005000e+01 8.192803e-01 1.005000e+01 8.670657e-01
1.010000e+01 7.952223e-01 1.010000e+01 7.451973e-01
1.015000e+01 7.087915e-01 1.015000e+01 5.802535e-01
1.020000e+01 5.858197e-01 1.020000e+01 3.858052e-01
1.025000e+01 3.586703e-01 1.025000e+01 1.748972e-01
1.030000e+01 1.036423e-02 1.030000e+01 -3.731488e-02
1.035000e+01 -3.193645e-01 1.035000e+01 -2.317189e-01
1.040000e+01 -5.614737e-01 1.040000e+01 -3.856601e-01
1.045000e+01 -6.227640e-01 1.045000e+01 -4.762098e-01
1.050000e+01 -5.425347e-01 1.050000e+01 -4.857178e-01
1.055000e+01 -3.537731e-01 1.055000e+01 -4.080325e-01
1.060000e+01 -1.203645e-01 1.060000e+01 -2.532290e-01
1.065000e+01 8.175616e-02 1.065000e+01 -4.885262e-02
1.070000e+01 2.205225e-01 1.070000e+01 1.634302e-01
1.075000e+01 2.663704e-01 1.075000e+01 3.355614e-01
1.080000e+01 2.983010e-01 1.080000e+01 4.236122e-01
1.085000e+01 2.734748e-01 1.085000e+01 3.985303e-01
1.090000e+01 2.176848e-01 1.090000e+01 2.542667e-01
1.095000e+01 5.160925e-02 1.095000e+01 1.096455e-02
1.100000e+01 -1.960807e-01 1.100000e+01 -2.879101e-01
1.105000e+01 -4.731748e-01 1.105000e+01 -5.840777e-01
1.110000e+01 -7.637539e-01 1.110000e+01 -8.167118e-01
1.115000e+01 -8.590559e-01 1.115000e+01 -9.355796e-01
1.120000e+01 -8.151973e-01 1.120000e+01 -9.119249e-01
1.125000e+01 -6.676117e-01 1.125000e+01 -7.444899e-01
1.130000e+01 -4.524834e-01 1.130000e+01 -4.592613e-01
1.135000e+01 -2.423824e-01 1.135000e+01 -1.031739e-01
1.140000e+01 6.150002e-03 1.140000e+01 2.664586e-01
1.145000e+01 3.129485e-01 1.145000e+01 5.940089e-01
1.150000e+01 6.395697e-01 1.150000e+01 8.360966e-01
1.155000e+01 9.164613e-01 1.155000e+01 9.682498e-01
1.160000e+01 1.076263e+00 1.160000e+01 9.864989e-01
1.165000e+01 1.000835e+00 1.165000e+01 9.041996e-01
1.170000e+01 7.810227e-01 1.170000e+01 7.456503e-01
1.175000e+01 5.169235e-01 1.175000e+01 5.387709e-01
1.180000e+01 2.591376e-01 1.180000e+01 3.090710e-01
1.185000e+01 2.368985e-02 1.185000e+01 7.641924e-02
1.190000e+01 -1.804674e-01 1.190000e+01 -1.450169e-01
1.195000e+01 -3.876951e-01 1.195000e+01 -3.444489e-01
1.200000e+01 -4.688802e-01 1.200000e+01 -5.113593e-01
1.205000e+01 -5.074801e-01 1.205000e+01 -6.333937e-01
1.210000e+01 -5.913623e-01 1.210000e+01 -6.965656e-01
